bet_number,date,season,pnl,bankroll
283,2019-04-13,2018,10.5,1021.75
284,2020-01-22,2019,-10.0,1011.75
285,2020-02-02,2019,9.6,1021.35
286,2021-01-17,2020,8.4,1029.75
287,2021-12-05,2021,9.5,1039.25
288,2022-01-23,2021,-10.0,1029.25
289,2022-02-13,2021,-10.0,1019.25
290,2022-02-19,2021,10.2,1029.45
291,2024-04-28,2023,-10.0,1019.45
292,2024-05-14,2023,-5.0,1014.45
293,2024-05-19,2023,8.5,1022.95
294,2017-08-19,2017,-10.0,1012.95
295,2019-09-22,2019,9.6,1022.55
296,2020-07-11,2019,10.0,1032.55
297,2021-01-31,2020,-10.0,1022.55
298,2021-05-19,2020,10.4,1032.95
299,2021-05-23,2020,9.2,1042.15
300,2021-10-24,2021,10.4,1052.55
301,2021-10-31,2021,8.3,1060.85
302,2022-09-03,2022,0.0,1060.85
303,2022-09-18,2022,-10.0,1050.85
304,2022-10-24,2022,9.7,1060.55
305,2022-10-30,2022,-10.0,1050.55
306,2022-11-06,2022,-10.0,1040.55
307,2022-11-12,2022,-10.0,1030.55
308,2023-01-04,2022,0.0,1030.55
309,2024-02-11,2023,-10.0,1020.55
310,2024-02-17,2023,-10.0,1010.55
311,2024-02-26,2023,8.6,1019.15
312,2021-08-29,2021,-10.0,1009.15
313,2021-09-11,2021,9.9,1019.05
314,2021-09-18,2021,-10.0,1009.05
315,2021-09-26,2021,10.1,1019.15
316,2021-10-02,2021,9.0,1028.15
317,2022-09-03,2022,9.1,1037.25
318,2022-09-17,2022,-10.0,1027.25
319,2022-10-15,2022,9.3,1036.55
320,2022-10-29,2022,9.8,1046.35
321,2023-08-26,2023,8.7,1055.05
322,2023-09-03,2023,-5.0,1050.05
323,2023-09-16,2023,-10.0,1040.05
