bet_number,date,season,stake_frac,pnl,bankroll
57,2023-04-29,2022,0.0,0.0,1000.0
58,2023-10-07,2023,0.0,-0.0,1000.0
59,2023-10-21,2023,0.0,0.0,1000.0
60,2023-12-17,2023,0.0,-0.0,1000.0
61,2024-04-06,2023,0.0,0.0,1000.0
62,2019-03-09,2018,0.0,0.0,1000.0
63,2019-09-28,2019,0.0,-0.0,1000.0
64,2019-10-05,2019,0.0,0.0,1000.0
65,2019-10-19,2019,0.0,-0.0,1000.0
66,2020-07-16,2019,0.0,0.0,1000.0
67,2020-12-16,2020,0.0,0.0,1000.0
68,2020-12-20,2020,0.0,-0.0,1000.0
69,2020-12-27,2020,0.0,0.0,1000.0
70,2020-12-29,2020,0.0,-0.0,1000.0
71,2021-01-02,2020,0.0,0.0,1000.0
72,2021-01-31,2020,0.0,0.0,1000.0
73,2021-02-03,2020,0.0,0.0,1000.0
74,2021-02-06,2020,0.0,-0.0,1000.0
75,2021-02-13,2020,0.0,0.0,1000.0
76,2021-02-22,2020,0.0,-0.0,1000.0
77,2021-02-27,2020,0.0,-0.0,1000.0
78,2021-03-06,2020,0.0,-0.0,1000.0
79,2021-03-14,2020,0.0,0.0,1000.0
80,2021-03-20,2020,0.0,0.0,1000.0
81,2021-05-09,2020,0.0,-0.0,1000.0
82,2021-05-15,2020,0.0,0.0,1000.0
83,2021-12-15,2021,0.0,-0.0,1000.0
84,2021-12-26,2021,0.0,0.0,1000.0
85,2022-03-16,2021,0.0,-0.0,1000.0
86,2022-04-09,2021,0.0,0.0,1000.0
87,2022-10-29,2022,0.0,0.0,1000.0
88,2023-03-04,2022,0.0,0.0,1000.0
89,2023-03-11,2022,0.0,-0.0,1000.0
90,2023-03-15,2022,0.0,-0.0,1000.0
91,2023-04-29,2022,0.0,0.0,1000.0
92,2024-01-30,2023,0.0,-0.0,1000.0
93,2024-02-03,2023,0.0,0.0,1000.0
94,2024-05-11,2023,0.0,0.0,1000.0
95,2024-05-15,2023,0.0,-0.0,1000.0
96,2024-05-19,2023,0.0,-0.0,1000.0
97,2018-01-13,2017,0.0,-0.0,1000.0
98,2018-01-31,2017,0.0,0.0,1000.0
99,2018-02-03,2017,0.0,0.0,1000.0
100,2018-02-10,2017,0.0,-0.0,1000.0
101,2018-02-24,2017,0.0,0.0,1000.0
102,2018-03-03,2017,0.0,0.0,1000.0
103,2018-03-10,2017,0.0,0.0,1000.0
104,2018-08-19,2018,0.0,-0.0,1000.0
105,2018-08-26,2018,0.0,-0.0,1000.0
106,2018-09-16,2018,0.0,0.0,1000.0
107,2018-09-22,2018,0.0,0.0,1000.0
108,2018-12-15,2018,0.0,0.0,1000.0
109,2018-12-22,2018,0.0,-0.0,1000.0
110,2018-12-26,2018,0.0,-0.0,1000.0
111,2018-12-30,2018,0.0,0.0,1000.0
112,2019-01-02,2018,0.0,0.0,1000.0
113,2019-01-12,2018,0.0,0.0,1000.0
114,2019-01-29,2018,0.0,0.0,1000.0
115,2019-12-21,2019,0.0,0.0,1000.0
116,2020-01-19,2019,0.0,0.0,1000.0
117,2020-01-22,2019,0.0,0.0,1000.0
118,2020-02-15,2019,0.0,0.0,1000.0
119,2020-06-29,2019,0.0,0.0,1000.0
120,2020-07-05,2019,0.0,0.0,1000.0
121,2020-11-28,2020,0.0,-0.0,1000.0
122,2020-12-05,2020,0.0,0.0,1000.0
123,2021-01-27,2020,0.0,0.0,1000.0
124,2021-08-21,2021,0.0,0.0,1000.0
125,2021-08-29,2021,0.0,0.0,1000.0
126,2021-09-13,2021,0.0,-0.0,1000.0
127,2021-09-18,2021,0.0,-0.0,1000.0
128,2021-09-25,2021,0.0,0.0,1000.0
129,2017-12-26,2017,0.0,0.0,1000.0
130,2017-12-30,2017,0.0,0.0,1000.0
131,2018-04-08,2017,0.0,-0.0,1000.0
132,2018-04-14,2017,0.0,0.0,1000.0
133,2019-01-12,2018,0.0,-0.0,1000.0
134,2019-04-22,2018,0.0,-0.0,1000.0
135,2019-08-24,2019,0.0,0.0,1000.0
136,2019-12-07,2019,0.0,-0.0,1000.0
137,2019-12-14,2019,0.0,-0.0,1000.0
138,2019-12-22,2019,0.0,0.0,1000.0
139,2019-12-26,2019,0.0,-0.0,1000.0
140,2020-01-21,2019,0.0,-0.0,1000.0
141,2020-02-01,2019,0.0,0.0,1000.0
142,2020-02-22,2019,0.0,0.0,1000.0
143,2020-02-29,2019,0.0,-0.0,1000.0
144,2020-12-21,2020,0.0,0.0,1000.0
145,2020-12-26,2020,0.0,-0.0,1000.0
146,2020-12-28,2020,0.0,-0.0,1000.0
147,2021-03-04,2020,0.0,0.0,1000.0
148,2021-04-10,2020,0.0,0.0,1000.0
149,2021-05-01,2020,0.0,0.0,1000.0
150,2021-08-28,2021,0.0,0.0,1000.0
151,2023-02-03,2022,0.0,-0.0,1000.0
152,2023-02-11,2022,0.0,-0.0,1000.0
153,2023-02-18,2022,0.0,-0.0,1000.0
154,2023-02-26,2022,0.0,-0.0,1000.0
155,2023-03-04,2022,0.0,0.0,1000.0
156,2023-03-11,2022,0.0,0.0,1000.0
157,2023-04-08,2022,0.0,-0.0,1000.0
158,2023-04-15,2022,0.0,-0.0,1000.0
159,2023-04-26,2022,0.0,-0.0,1000.0
160,2023-05-02,2022,0.0,-0.0,1000.0
161,2023-05-06,2022,0.0,0.0,1000.0
162,2023-08-25,2023,0.0,0.0,1000.0
163,2023-09-17,2023,0.0,-0.0,1000.0
164,2023-09-24,2023,0.0,-0.0,1000.0
165,2023-10-02,2023,0.0,0.0,1000.0
166,2023-10-07,2023,0.0,0.0,1000.0
167,2023-12-30,2023,0.0,0.0,1000.0
168,2017-09-16,2017,0.0,-0.0,1000.0
169,2017-09-23,2017,0.0,-0.0,1000.0
170,2017-09-30,2017,0.0,-0.0,1000.0
171,2017-10-14,2017,0.0,0.0,1000.0
172,2017-10-21,2017,0.0,-0.0,1000.0
173,2017-12-12,2017,0.0,0.0,1000.0
174,2018-02-25,2017,0.0,0.0,1000.0
175,2023-01-18,2022,0.0,0.0,1000.0
176,2024-04-21,2023,0.0,0.0,1000.0
177,2024-02-03,2023,0.0,-0.0,1000.0
178,2024-05-11,2023,0.0,-0.0,1000.0
179,2024-05-19,2023,0.0,0.0,1000.0
180,2018-03-10,2017,0.0,0.0,1000.0
181,2018-11-24,2018,0.0,-0.0,1000.0
182,2018-12-01,2018,0.0,0.0,1000.0
183,2018-12-05,2018,0.0,-0.0,1000.0
184,2019-03-03,2018,0.0,-0.0,1000.0
185,2019-03-09,2018,0.0,0.0,1000.0
186,2020-09-20,2020,0.0,0.0,1000.0
187,2023-04-01,2022,0.0,-0.0,1000.0
188,2023-05-01,2022,0.0,-0.0,1000.0
189,2023-05-08,2022,0.0,-0.0,1000.0
190,2023-05-15,2022,0.0,-0.0,1000.0
191,2023-05-22,2022,0.0,0.0,1000.0
192,2023-05-28,2022,0.0,0.0,1000.0
193,2017-09-23,2017,0.0,0.0,1000.0
194,2017-10-01,2017,0.0,-0.0,1000.0
195,2017-10-22,2017,0.0,-0.0,1000.0
196,2017-10-28,2017,0.0,0.0,1000.0
197,2018-05-06,2017,0.0,-0.0,1000.0
198,2018-05-13,2017,0.0,0.0,1000.0
199,2018-08-20,2018,0.0,0.0,1000.0
200,2018-08-25,2018,0.0,-0.0,1000.0
201,2018-09-22,2018,0.0,0.0,1000.0
202,2019-11-02,2019,0.0,-0.0,1000.0
203,2019-11-10,2019,0.0,0.0,1000.0
204,2020-01-23,2019,0.0,0.0,1000.0
205,2020-01-29,2019,0.0,0.0,1000.0
206,2020-02-01,2019,0.0,0.0,1000.0
207,2021-01-28,2020,0.0,0.0,1000.0
208,2021-01-31,2020,0.0,0.0,1000.0
209,2021-02-03,2020,0.0,-0.0,1000.0
210,2021-02-07,2020,0.0,-0.0,1000.0
211,2021-02-28,2020,0.0,0.0,1000.0
212,2021-03-04,2020,0.0,-0.0,1000.0
213,2021-03-07,2020,0.0,-0.0,1000.0
214,2021-03-15,2020,0.0,0.0,1000.0
215,2021-05-08,2020,0.0,0.0,1000.0
216,2021-05-13,2020,0.0,0.0,1000.0
217,2022-01-02,2021,0.0,-0.0,1000.0
218,2022-01-16,2021,0.0,0.0,1000.0
219,2022-11-06,2022,0.0,0.0,1000.0
220,2022-11-12,2022,0.0,0.0,1000.0
221,2022-12-30,2022,0.0,-0.0,1000.0
222,2023-02-04,2022,0.0,-0.0,1000.0
223,2023-02-13,2022,0.0,0.0,1000.0
224,2023-02-18,2022,0.0,0.0,1000.0
225,2023-02-25,2022,0.0,-0.0,1000.0
226,2023-03-01,2022,0.0,0.0,1000.0
227,2023-03-05,2022,0.0,0.0,1000.0
228,2024-04-14,2023,0.0,-0.0,1000.0
229,2024-04-21,2023,0.0,0.0,1000.0
230,2024-04-24,2023,0.0,-0.0,1000.0
231,2024-04-27,2023,0.0,-0.0,1000.0
232,2024-05-05,2023,0.0,0.0,1000.0
233,2019-02-09,2018,0.0,0.0,1000.0
234,2019-04-21,2018,0.0,-0.0,1000.0
235,2019-04-24,2018,0.0,-0.0,1000.0
236,2019-04-28,2018,0.0,-0.0,1000.0
237,2019-05-05,2018,0.0,-0.0,1000.0
238,2019-05-12,2018,0.0,-0.0,1000.0
239,2019-09-30,2019,0.0,-0.0,1000.0
240,2019-10-06,2019,0.0,-0.0,1000.0
241,2019-10-20,2019,0.0,0.0,1000.0
242,2019-11-02,2019,0.0,-0.0,1000.0
243,2019-11-10,2019,0.0,0.0,1000.0
244,2019-11-24,2019,0.0,-0.0,1000.0
245,2022-02-20,2021,0.0,0.0,1000.0
246,2022-02-26,2021,0.0,-0.0,1000.0
247,2022-03-06,2021,0.0,-0.0,1000.0
248,2022-03-12,2021,0.0,0.0,1000.0
249,2022-08-27,2022,0.0,0.0,1000.0
250,2023-04-08,2022,0.0,0.0,1000.0
251,2023-04-16,2022,0.0,0.0,1000.0
252,2023-04-27,2022,0.0,0.0,1000.0
253,2023-04-30,2022,0.0,0.0,1000.0
254,2023-05-04,2022,0.0,-0.0,1000.0
255,2023-05-07,2022,0.0,-0.0,1000.0
256,2023-05-13,2022,0.0,0.0,1000.0
257,2023-05-20,2022,0.0,0.0,1000.0
258,2023-05-25,2022,0.0,0.0,1000.0
259,2023-05-28,2022,0.0,0.0,1000.0
260,2023-08-19,2023,0.0,-0.0,1000.0
261,2023-08-26,2023,0.0,-0.0,1000.0
262,2023-09-03,2023,0.0,-0.0,1000.0
263,2023-09-16,2023,0.0,-0.0,1000.0
264,2023-12-17,2023,0.0,0.0,1000.0
265,2023-12-26,2023,0.0,0.0,1000.0
266,2017-10-01,2017,0.0,0.0,1000.0
267,2021-04-11,2020,0.0,0.0,1000.0
268,2017-08-19,2017,0.0,0.0,1000.0
269,2017-09-09,2017,0.0,-0.0,1000.0
270,2018-10-20,2018,0.0,0.0,1000.0
271,2018-11-04,2018,0.0,-0.0,1000.0
272,2018-11-10,2018,0.0,-0.0,1000.0
273,2018-11-24,2018,0.0,-0.0,1000.0
274,2021-10-16,2021,0.0,0.0,1000.0
275,2022-04-09,2021,0.0,-0.0,1000.0
276,2022-04-16,2021,0.0,0.0,1000.0
277,2017-12-02,2017,0.0,-0.0,1000.0
278,2017-12-09,2017,0.0,0.0,1000.0
279,2018-02-25,2017,0.0,-0.0,1000.0
280,2018-03-03,2017,0.0,0.0,1000.0
281,2018-03-11,2017,0.0,0.0,1000.0
282,2018-11-03,2018,0.0,0.0,1000.0
283,2019-04-13,2018,0.0,0.0,1000.0
284,2020-01-22,2019,0.0,-0.0,1000.0
285,2020-02-02,2019,0.0,0.0,1000.0
286,2021-01-17,2020,0.0,0.0,1000.0
287,2021-12-05,2021,0.0,0.0,1000.0
288,2022-01-23,2021,0.0,-0.0,1000.0
289,2022-02-13,2021,0.0,-0.0,1000.0
290,2022-02-19,2021,0.0,0.0,1000.0
291,2024-04-28,2023,0.0,-0.0,1000.0
292,2024-05-14,2023,0.0,-0.0,1000.0
293,2024-05-19,2023,0.0,0.0,1000.0
294,2017-08-19,2017,0.0,-0.0,1000.0
295,2019-09-22,2019,0.0,0.0,1000.0
296,2020-07-11,2019,0.0,0.0,1000.0
297,2021-01-31,2020,0.0,-0.0,1000.0
298,2021-05-19,2020,0.0,0.0,1000.0
299,2021-05-23,2020,0.0,0.0,1000.0
300,2021-10-24,2021,0.0,0.0,1000.0
301,2021-10-31,2021,0.0,0.0,1000.0
302,2022-09-03,2022,0.0,0.0,1000.0
303,2022-09-18,2022,0.0,-0.0,1000.0
304,2022-10-24,2022,0.0,0.0,1000.0
305,2022-10-30,2022,0.0,-0.0,1000.0
306,2022-11-06,2022,0.0,-0.0,1000.0
307,2022-11-12,2022,0.0,-0.0,1000.0
308,2023-01-04,2022,0.0,0.0,1000.0
309,2024-02-11,2023,0.0,-0.0,1000.0
310,2024-02-17,2023,0.0,-0.0,1000.0
311,2024-02-26,2023,0.0,0.0,1000.0
312,2021-08-29,2021,0.0,-0.0,1000.0
313,2021-09-11,2021,0.0,0.0,1000.0
314,2021-09-18,2021,0.0,-0.0,1000.0
315,2021-09-26,2021,0.0,0.0,1000.0
316,2021-10-02,2021,0.0,0.0,1000.0
317,2022-09-03,2022,0.0,0.0,1000.0
318,2022-09-17,2022,0.0,-0.0,1000.0
319,2022-10-15,2022,0.0,0.0,1000.0
320,2022-10-29,2022,0.0,0.0,1000.0
321,2023-08-26,2023,0.0,0.0,1000.0
322,2023-09-03,2023,0.0,-0.0,1000.0
323,2023-09-16,2023,0.0,-0.0,1000.0
