bet_number,date,season,stake_frac,pnl,bankroll
57,2023-04-29,2022,0.0,0.0,689.6926
58,2023-10-07,2023,0.0,-0.0,689.6926
59,2023-10-21,2023,0.0,0.0,689.6926
60,2023-12-17,2023,0.024240078806642276,-16.7182,672.9744
61,2024-04-06,2023,0.0,-0.0,672.9744
62,2019-03-09,2018,0.0,0.0,672.9744
63,2019-09-28,2019,0.0,-0.0,672.9744
64,2019-10-05,2019,0.03184050389665848,62.1408,735.1152
65,2019-10-19,2019,0.004414631349615871,-3.2453,731.8699
66,2020-07-16,2019,0.0,-0.0,731.8699
67,2020-12-16,2020,0.01868346550553799,-13.6739,718.196
68,2020-12-20,2020,0.0,-0.0,718.196
69,2020-12-27,2020,0.0024410573946177586,-1.7532,716.4429
70,2020-12-29,2020,0.02493980048159615,-17.8679,698.5749
71,2021-01-02,2020,0.01296678515460766,-9.0583,689.5167
72,2021-01-31,2020,0.024240078806642276,36.7707,726.2873
73,2021-02-03,2020,0.0,0.0,726.2873
74,2021-02-06,2020,0.029084305787092164,-21.1236,705.1638
75,2021-02-13,2020,0.014979056638135134,-10.5627,694.6011
76,2021-02-22,2020,0.0,-0.0,694.6011
77,2021-02-27,2020,0.03407991486068112,-23.6719,670.9291
78,2021-03-06,2020,0.011035653650254669,-7.4041,663.525
79,2021-03-14,2020,0.01926837216881212,19.1776,682.7026
80,2021-03-20,2020,0.0,0.0,682.7026
81,2021-05-09,2020,0.02560909947503028,-17.4834,665.2192
82,2021-05-15,2020,0.01926837216881212,-12.8177,652.4015
83,2021-12-15,2021,0.00030959752321981784,-0.202,652.1995
84,2021-12-26,2021,0.0,0.0,652.1995
85,2022-03-16,2021,0.02560909947503028,-16.7022,635.4973
86,2022-04-09,2021,0.0,0.0,635.4973
87,2022-10-29,2022,0.021091331269349846,26.807,662.3042
88,2023-03-04,2022,0.0,0.0,662.3042
89,2023-03-11,2022,0.03053757388122713,-20.2252,642.0791
90,2023-03-15,2022,0.0,0.0,642.0791
91,2023-04-29,2022,0.0,0.0,642.0791
92,2024-01-30,2023,0.03407991486068112,-21.882,620.1971
93,2024-02-03,2023,0.0,0.0,620.1971
94,2024-05-11,2023,0.0,-0.0,620.1971
95,2024-05-15,2023,0.02560909947503028,-15.8827,604.3144
96,2024-05-19,2023,0.0,-0.0,604.3144
97,2018-01-13,2017,0.0,-0.0,604.3144
98,2018-01-31,2017,0.0,-0.0,604.3144
99,2018-02-03,2017,0.0499548503611971,-30.1884,574.1259
100,2018-02-10,2017,0.005163725113556759,-2.9646,571.1613
101,2018-02-24,2017,0.0190754664438875,-10.8952,560.2661
102,2018-03-03,2017,0.009545923632610939,8.0224,568.2885
103,2018-03-10,2017,0.002027983776129798,2.9964,571.285
104,2018-08-19,2018,0.007953453613750409,-4.5437,566.7413
105,2018-08-26,2018,0.0,-0.0,566.7413
106,2018-09-16,2018,0.0,-0.0,566.7413
107,2018-09-22,2018,0.021091331269349846,23.9067,590.6479
108,2018-12-15,2018,0.0,-0.0,590.6479
109,2018-12-22,2018,0.0,-0.0,590.6479
110,2018-12-26,2018,0.03492501789715412,-20.6284,570.0196
111,2018-12-30,2018,0.02560909947503028,33.5747,603.5942
112,2019-01-02,2018,0.0,0.0,603.5942
113,2019-01-12,2018,0.006247235736399824,5.2791,608.8734
114,2019-01-29,2018,0.0,-0.0,608.8734
115,2019-12-21,2019,0.006247235736399824,7.2272,616.1005
116,2020-01-19,2019,0.03492501789715412,71.6527,687.7532
117,2020-01-22,2019,0.0,0.0,687.7532
118,2020-02-15,2019,0.0,0.0,687.7532
119,2020-06-29,2019,0.00030959752321981784,0.511,688.2642
120,2020-07-05,2019,0.01926837216881212,-13.2617,675.0025
121,2020-11-28,2020,0.0,-0.0,675.0025
122,2020-12-05,2020,0.03263673890608875,-22.0299,652.9726
123,2021-01-27,2020,0.030987394957983194,56.655,709.6276
124,2021-08-21,2021,0.0,-0.0,709.6276
125,2021-08-29,2021,0.02274067521745541,-16.1374,693.4902
126,2021-09-13,2021,0.0,-0.0,693.4902
127,2021-09-18,2021,0.030987394957983194,-21.4895,672.0007
128,2021-09-25,2021,0.0,-0.0,672.0007
129,2017-12-26,2017,0.0,0.0,672.0007
130,2017-12-30,2017,0.0,0.0,672.0007
131,2018-04-08,2017,0.0,-0.0,672.0007
132,2018-04-14,2017,0.03593542680229987,20.5263,692.5271
133,2019-01-12,2018,0.0,0.0,692.5271
134,2019-04-22,2018,0.0,-0.0,692.5271
135,2019-08-24,2019,0.03492501789715412,19.3492,711.8763
136,2019-12-07,2019,0.02801857585139319,-19.9458,691.9305
137,2019-12-14,2019,0.0,-0.0,691.9305
138,2019-12-22,2019,0.005163725113556759,6.2526,698.1832
139,2019-12-26,2019,0.0,-0.0,698.1832
140,2020-01-21,2019,0.0,-0.0,698.1832
141,2020-02-01,2019,0.009545923632610939,-6.6648,691.5184
142,2020-02-22,2019,0.0,0.0,691.5184
143,2020-02-29,2019,0.03725490196078431,-25.7624,665.7559
144,2020-12-21,2020,0.0,0.0,665.7559
145,2020-12-26,2020,0.03263673890608875,-21.7281,644.0278
146,2020-12-28,2020,0.0,-0.0,644.0278
147,2021-03-04,2020,0.00030959752321981784,0.3988,644.4266
148,2021-04-10,2020,0.04418214654282765,15.0902,659.5168
149,2021-05-01,2020,0.0,0.0,659.5168
150,2021-08-28,2021,0.007953453613750409,-5.2454,654.2714
151,2023-02-03,2022,0.0,-0.0,654.2714
152,2023-02-11,2022,0.02560909947503028,-16.7553,637.5161
153,2023-02-18,2022,0.0,-0.0,637.5161
154,2023-02-26,2022,0.011035653650254669,-7.0354,630.4807
155,2023-03-04,2022,0.0,0.0,630.4807
156,2023-03-11,2022,0.03053757388122713,18.2907,648.7714
157,2023-04-08,2022,0.03407991486068112,-22.1101,626.6613
158,2023-04-15,2022,0.01322912116089574,-8.2902,618.3711
159,2023-04-26,2022,0.0,-0.0,618.3711
160,2023-05-02,2022,0.0,-0.0,618.3711
161,2023-05-06,2022,0.02560909947503028,18.2113,636.5824
162,2023-08-25,2023,0.0,0.0,636.5824
163,2023-09-17,2023,0.03492501789715412,-22.2327,614.3498
164,2023-09-24,2023,0.0,-0.0,614.3498
165,2023-10-02,2023,0.029084305787092164,18.7613,633.1111
166,2023-10-07,2023,0.03593542680229987,16.6083,649.7194
167,2023-12-30,2023,0.04313256403039684,14.012,663.7315
168,2017-09-16,2017,0.021091331269349846,-13.999,649.7325
169,2017-09-23,2017,0.0,-0.0,649.7325
170,2017-09-30,2017,0.0,-0.0,649.7325
171,2017-10-14,2017,0.047068498452012386,244.6555,894.3879
172,2017-10-21,2017,0.0,-0.0,894.3879
173,2017-12-12,2017,0.002027983776129798,2.3398,896.7278
174,2018-02-25,2017,0.045070254822576795,-40.4157,856.312
175,2023-01-18,2022,0.03593542680229987,-30.7719,825.5401
176,2024-04-21,2023,0.0,0.0,825.5401
177,2024-02-03,2023,0.01926837216881212,-15.9068,809.6333
178,2024-05-11,2023,0.0499548503611971,-40.4451,769.1881
179,2024-05-19,2023,0.01926837216881212,17.7852,786.9734
180,2018-03-10,2017,0.021091331269349846,26.5573,813.5307
181,2018-11-24,2018,0.01926837216881212,-15.6754,797.8552
182,2018-12-01,2018,0.00030959752321981784,0.3088,798.164
183,2018-12-05,2018,0.021091331269349846,-16.8343,781.3297
184,2019-03-03,2018,0.011035653650254669,-8.6225,772.7072
185,2019-03-09,2018,0.0,0.0,772.7072
186,2020-09-20,2020,0.0,0.0,772.7072
187,2023-04-01,2022,0.009545923632610939,-7.3762,765.331
188,2023-05-01,2022,0.0,-0.0,765.331
189,2023-05-08,2022,0.01322912116089574,-10.1247,755.2063
190,2023-05-15,2022,0.039428155162993986,-29.7764,725.4299
191,2023-05-22,2022,0.0,-0.0,725.4299
192,2023-05-28,2022,0.0,0.0,725.4299
193,2017-09-23,2017,0.033381603914910615,22.0366,747.4665
194,2017-10-01,2017,0.038409442724458204,-28.7098,718.7567
195,2017-10-22,2017,0.00030959752321981784,-0.2225,718.5342
196,2017-10-28,2017,0.0,0.0,718.5342
197,2018-05-06,2017,0.00030959752321981784,-0.2225,718.3118
198,2018-05-13,2017,0.0,0.0,718.3118
199,2018-08-20,2018,0.04418214654282765,13.9641,732.2758
200,2018-08-25,2018,0.0,0.0,732.2758
201,2018-09-22,2018,0.0,0.0,732.2758
202,2019-11-02,2019,0.047068498452012386,11.3742,743.65
203,2019-11-10,2019,0.009545923632610939,10.6482,754.2982
204,2020-01-23,2019,0.04114388137526479,18.9312,773.2294
205,2020-01-29,2019,0.046491228070175444,11.863,785.0924
206,2020-02-01,2019,0.0,0.0,785.0924
207,2021-01-28,2020,0.024240078806642276,22.8368,807.9292
208,2021-01-31,2020,0.03492501789715412,21.1627,829.0919
209,2021-02-03,2020,0.0,-0.0,829.0919
210,2021-02-07,2020,0.026864035087719302,-22.2728,806.8192
211,2021-02-28,2020,0.04583149049093322,13.312,820.1312
212,2021-03-04,2020,0.00030959752321981784,-0.2539,819.8773
213,2021-03-07,2020,0.0,-0.0,819.8773
214,2021-03-15,2020,0.03725490196078431,21.992,841.8693
215,2021-05-08,2020,0.0,0.0,841.8693
216,2021-05-13,2020,0.021091331269349846,21.3074,863.1766
217,2022-01-02,2021,0.02274067521745541,-19.6292,843.5474
218,2022-01-16,2021,0.0,0.0,843.5474
219,2022-11-06,2022,0.02560909947503028,23.7627,867.3102
220,2022-11-12,2022,0.0,0.0,867.3102
221,2022-12-30,2022,0.0,0.0,867.3102
222,2023-02-04,2022,0.03263673890608875,-28.3062,839.004
223,2023-02-13,2022,0.0,0.0,839.004
224,2023-02-18,2022,0.009545923632610939,13.6154,852.6194
225,2023-02-25,2022,0.03725490196078431,-31.7643,820.8551
226,2023-03-01,2022,0.0,0.0,820.8551
227,2023-03-05,2022,0.005530129672006102,6.2644,827.1196
228,2024-04-14,2023,0.0,-0.0,827.1196
229,2024-04-21,2023,0.039428155162993986,18.5887,845.7083
230,2024-04-24,2023,0.04418214654282765,-37.3652,808.3431
