bet_number,date,season,pnl,bankroll
99,2018-02-03,2017,-10.0,1025.8
100,2018-02-10,2017,-10.0,1015.8
101,2018-02-24,2017,-10.0,1005.8
102,2018-03-03,2017,15.0,1020.8
103,2018-03-10,2017,26.0,1046.8
104,2018-08-19,2018,-10.0,1036.8
105,2018-08-26,2018,-10.0,1026.8
106,2018-09-16,2018,-10.0,1016.8
107,2018-09-22,2018,20.0,1036.8
108,2018-12-15,2018,-10.0,1026.8
109,2018-12-22,2018,-10.0,1016.8
110,2018-12-26,2018,-10.0,1006.8
111,2018-12-30,2018,23.0,1029.8
112,2019-01-02,2018,32.0,1061.8
113,2019-01-12,2018,14.0,1075.8
114,2019-01-29,2018,-10.0,1065.8
115,2019-12-21,2019,19.0,1084.8
116,2020-01-19,2019,33.3,1118.1
117,2020-01-22,2019,80.0,1198.1
118,2020-02-15,2019,37.5,1235.6
119,2020-06-29,2019,24.0,1259.6
120,2020-07-05,2019,-10.0,1249.6
121,2020-11-28,2020,-10.0,1239.6
122,2020-12-05,2020,-10.0,1229.6
123,2021-01-27,2020,28.0,1257.6
124,2021-08-21,2021,-10.0,1247.6
125,2021-08-29,2021,-10.0,1237.6
126,2021-09-13,2021,-10.0,1227.6
127,2021-09-18,2021,-10.0,1217.6
128,2021-09-25,2021,-10.0,1207.6
129,2017-12-26,2017,1.9,1209.5
130,2017-12-30,2017,1.6,1211.1
131,2018-04-08,2017,-10.0,1201.1
132,2018-04-14,2017,8.5,1209.6
133,2019-01-12,2018,2.2,1211.8
134,2019-04-22,2018,-10.0,1201.8
135,2019-08-24,2019,8.0,1209.8
136,2019-12-07,2019,-10.0,1199.8
137,2019-12-14,2019,-10.0,1189.8
138,2019-12-22,2019,17.5,1207.3
139,2019-12-26,2019,-10.0,1197.3
140,2020-01-21,2019,-10.0,1187.3
141,2020-02-01,2019,-10.0,1177.3
142,2020-02-22,2019,7.2,1184.5
143,2020-02-29,2019,-10.0,1174.5
144,2020-12-21,2020,4.4,1178.9
145,2020-12-26,2020,-10.0,1168.9
146,2020-12-28,2020,-10.0,1158.9
147,2021-03-04,2020,20.0,1178.9
148,2021-04-10,2020,5.3,1184.2
149,2021-05-01,2020,4.4,1188.6
150,2021-08-28,2021,-10.0,1178.6
151,2023-02-03,2022,-10.0,1168.6
152,2023-02-11,2022,-10.0,1158.6
153,2023-02-18,2022,-10.0,1148.6
154,2023-02-26,2022,-10.0,1138.6
155,2023-03-04,2022,6.2,1144.8
156,2023-03-11,2022,9.5,1154.3
157,2023-04-08,2022,-10.0,1144.3
158,2023-04-15,2022,-10.0,1134.3
159,2023-04-26,2022,-10.0,1124.3
160,2023-05-02,2022,-10.0,1114.3
161,2023-05-06,2022,11.5,1125.8
162,2023-08-25,2023,2.9,1128.7
163,2023-09-17,2023,-10.0,1118.7
164,2023-09-24,2023,-10.0,1108.7
165,2023-10-02,2023,10.5,1119.2
166,2023-10-07,2023,7.3,1126.5
167,2023-12-30,2023,5.0,1131.5
168,2017-09-16,2017,-10.0,1121.5
169,2017-09-23,2017,-10.0,1111.5
170,2017-09-30,2017,-10.0,1101.5
171,2017-10-14,2017,80.0,1181.5
172,2017-10-21,2017,-10.0,1171.5
173,2017-12-12,2017,12.9,1184.4
174,2018-02-25,2017,-10.0,1174.4
175,2023-01-18,2022,-10.0,1164.4
176,2024-04-21,2023,11.0,1175.4
177,2024-02-03,2023,-10.0,1165.4
178,2024-05-11,2023,-10.0,1155.4
179,2024-05-19,2023,12.0,1167.4
180,2018-03-10,2017,16.0,1183.4
181,2018-11-24,2018,-10.0,1173.4
182,2018-12-01,2018,12.5,1185.9
183,2018-12-05,2018,-10.0,1175.9
184,2019-03-03,2018,-10.0,1165.9
185,2019-03-09,2018,5.7,1171.6
186,2020-09-20,2020,6.1,1177.7
187,2023-04-01,2022,-10.0,1167.7
188,2023-05-01,2022,-10.0,1157.7
189,2023-05-08,2022,-10.0,1147.7
190,2023-05-15,2022,-10.0,1137.7
191,2023-05-22,2022,-10.0,1127.7
192,2023-05-28,2022,9.1,1136.8
193,2017-09-23,2017,9.1,1145.9
194,2017-10-01,2017,-10.0,1135.9
195,2017-10-22,2017,-10.0,1125.9
196,2017-10-28,2017,2.5,1128.4
197,2018-05-06,2017,-10.0,1118.4
198,2018-05-13,2017,1.9,1120.3
199,2018-08-20,2018,4.4,1124.7
200,2018-08-25,2018,1.6,1126.3
201,2018-09-22,2018,2.0,1128.3
202,2019-11-02,2019,3.3,1131.6
203,2019-11-10,2019,15.0,1146.6
204,2020-01-23,2019,6.1,1152.7
205,2020-01-29,2019,3.3,1156.0
206,2020-02-01,2019,2.5,1158.5
207,2021-01-28,2020,12.0,1170.5
208,2021-01-31,2020,7.5,1178.0
209,2021-02-03,2020,-10.0,1168.0
210,2021-02-07,2020,-10.0,1158.0
211,2021-02-28,2020,3.6,1161.6
212,2021-03-04,2020,-10.0,1151.6
213,2021-03-07,2020,-10.0,1141.6
214,2021-03-15,2020,7.2,1148.8
215,2021-05-08,2020,2.5,1151.3
216,2021-05-13,2020,12.0,1163.3
217,2022-01-02,2021,-10.0,1153.3
218,2022-01-16,2021,3.0,1156.3
219,2022-11-06,2022,11.0,1167.3
220,2022-11-12,2022,2.5,1169.8
221,2022-12-30,2022,2.9,1172.7
222,2023-02-04,2022,-10.0,1162.7
223,2023-02-13,2022,5.0,1167.7
224,2023-02-18,2022,17.0,1184.7
225,2023-02-25,2022,-10.0,1174.7
226,2023-03-01,2022,5.0,1179.7
227,2023-03-05,2022,13.8,1193.5
228,2024-04-14,2023,-10.0,1183.5
229,2024-04-21,2023,5.7,1189.2
230,2024-04-24,2023,-10.0,1179.2
231,2024-04-27,2023,-10.0,1169.2
232,2024-05-05,2023,5.0,1174.2
233,2019-02-09,2018,6.1,1180.3
234,2019-04-21,2018,-10.0,1170.3
235,2019-04-24,2018,-10.0,1160.3
236,2019-04-28,2018,-10.0,1150.3
237,2019-05-05,2018,-10.0,1140.3
238,2019-05-12,2018,-10.0,1130.3
239,2019-09-30,2019,-10.0,1120.3
240,2019-10-06,2019,-10.0,1110.3
241,2019-10-20,2019,-10.0,1100.3
242,2019-11-02,2019,-10.0,1090.3
243,2019-11-10,2019,6.0,1096.3
244,2019-11-24,2019,-10.0,1086.3
245,2022-02-20,2021,8.5,1094.8
246,2022-02-26,2021,-10.0,1084.8
247,2022-03-06,2021,-10.0,1074.8
248,2022-03-12,2021,12.0,1086.8
249,2022-08-27,2022,8.0,1094.8
250,2023-04-08,2022,5.0,1099.8
251,2023-04-16,2022,6.2,1106.0
252,2023-04-27,2022,-10.0,1096.0
253,2023-04-30,2022,7.3,1103.3
254,2023-05-04,2022,-10.0,1093.3
255,2023-05-07,2022,-10.0,1083.3
256,2023-05-13,2022,3.6,1086.9
257,2023-05-20,2022,5.0,1091.9
258,2023-05-25,2022,6.0,1097.9
259,2023-05-28,2022,5.0,1102.9
260,2023-08-19,2023,-10.0,1092.9
261,2023-08-26,2023,3.0,1095.9
262,2023-09-03,2023,-10.0,1085.9
263,2023-09-16,2023,-10.0,1075.9
264,2023-12-17,2023,-10.0,1065.9
265,2023-12-26,2023,16.0,1081.9
266,2017-10-01,2017,-10.0,1071.9
267,2021-04-11,2020,24.0,1095.9
268,2017-08-19,2017,7.5,1103.4
269,2017-09-09,2017,-10.0,1093.4
270,2018-10-20,2018,-10.0,1083.4
271,2018-11-04,2018,-10.0,1073.4
272,2018-11-10,2018,-10.0,1063.4
273,2018-11-24,2018,-10.0,1053.4
274,2021-10-16,2021,13.0,1066.4
275,2022-04-09,2021,-10.0,1056.4
276,2022-04-16,2021,28.0,1084.4
277,2017-12-02,2017,-10.0,1074.4
278,2017-12-09,2017,2.8,1077.2
279,2018-02-25,2017,5.0,1082.2
280,2018-03-03,2017,1.9,1084.1
281,2018-03-11,2017,5.5,1089.6
282,2018-11-03,2018,14.5,1104.1
283,2019-04-13,2018,2.2,1106.3
284,2020-01-22,2019,4.0,1110.3
285,2020-02-02,2019,45.0,1155.3
286,2021-01-17,2020,6.0,1161.3
287,2021-12-05,2021,3.6,1164.9
288,2022-01-23,2021,-10.0,1154.9
289,2022-02-13,2021,-10.0,1144.9
290,2022-02-19,2021,90.0,1234.9
291,2024-04-28,2023,-10.0,1224.9
292,2024-05-14,2023,-10.0,1214.9
293,2024-05-19,2023,3.3,1218.2
294,2017-08-19,2017,-10.0,1208.2
295,2019-09-22,2019,21.0,1229.2
296,2020-07-11,2019,9.5,1238.7
297,2021-01-31,2020,-10.0,1228.7
298,2021-05-19,2020,6.0,1234.7
299,2021-05-23,2020,6.5,1241.2
300,2021-10-24,2021,13.0,1254.2
301,2021-10-31,2021,14.5,1268.7
302,2022-09-03,2022,-10.0,1258.7
303,2022-09-18,2022,-10.0,1248.7
304,2022-10-24,2022,5.5,1254.2
305,2022-10-30,2022,-10.0,1244.2
306,2022-11-06,2022,-10.0,1234.2
307,2022-11-12,2022,-10.0,1224.2
308,2023-01-04,2022,-10.0,1214.2
309,2024-02-11,2023,-10.0,1204.2
310,2024-02-17,2023,-10.0,1194.2
311,2024-02-26,2023,15.0,1209.2
312,2021-08-29,2021,-10.0,1199.2
313,2021-09-11,2021,12.5,1211.7
314,2021-09-18,2021,-10.0,1201.7
315,2021-09-26,2021,18.0,1219.7
316,2021-10-02,2021,6.1,1225.8
317,2022-09-03,2022,12.0,1237.8
318,2022-09-17,2022,-10.0,1227.8
319,2022-10-15,2022,7.0,1234.8
320,2022-10-29,2022,-10.0,1224.8
321,2023-08-26,2023,22.0,1246.8
322,2023-09-03,2023,-10.0,1236.8
323,2023-09-16,2023,-10.0,1226.8
