team,signal_date,season,z_oos,z_bucket,regime,rolling_spread,mu,sigma_eq,match_date,home_team,away_team,venue,home_goals,away_goals,result,days_gap,home_odds,draw_odds,away_odds,ah_line,ah_home_odds,ah_away_odds,over_odds,under_odds,margin_1x2,margin_ah,odds_1x2,won_1x2,odds_ou,won_ou,odds_ah,pnl_mult_ah,gross_pnl_1x2,gross_pnl_ou,gross_pnl_ah
Liverpool,2017-09-16 15:00:00,2017,1.94224,Strong Long,Normal,0.5555412000000001,-0.3039,0.4425,2017-09-23,Leicester,Liverpool,away,2,3,A,6,4.1,3.9,1.91,0.75,1.78,2.11,1.69,2.18,0.0239,0.0357,1.91,True,1.69,True,2.11,1.0,0.9099999999999999,0.69,1.1099999999999999
Liverpool,2017-09-23 17:30:00,2017,1.6319710734463275,Strong Long,Normal,0.4182472,-0.3039,0.4425,2017-10-01,Newcastle United,Liverpool,away,1,1,D,7,5.0,3.8,1.67,0.75,1.96,1.91,1.68,2.18,0.062,0.0338,1.67,False,1.68,False,1.91,-1.0,-1.0,-1.0,-1.0
Liverpool,2017-10-14 12:30:00,2017,2.2023710734463275,Strong Long,Normal,0.6706492000000001,-0.3039,0.4425,2017-10-22,Tottenham,Liverpool,away,4,1,H,7,2.25,3.5,3.39,-0.25,1.88,1.99,1.66,2.23,0.0251,0.0344,3.39,False,1.66,True,1.99,-1.0,-1.0,0.6599999999999999,-1.0
Liverpool,2017-10-22 16:00:00,2017,1.751562033898305,Strong Long,Normal,0.4711662,-0.3039,0.4425,2017-10-28,Liverpool,Huddersfield,home,3,0,H,5,1.25,6.75,13.0,-2.0,2.16,1.73,1.48,2.61,0.0251,0.041,1.25,True,1.48,True,2.16,1.0,0.25,0.48,1.1600000000000001
Liverpool,2017-12-02 15:00:00,2017,-1.66034802259887,Strong Short,Break,-1.038604,-0.3039,0.4425,2017-12-10,Liverpool,Everton,home,1,1,D,7,1.3,6.0,11.0,-1.75,1.99,1.86,1.48,2.62,0.0268,0.0401,11.0,False,2.62,True,1.86,1.0,-1.0,1.62,0.8600000000000001
Liverpool,2018-01-14 16:00:00,2017,-1.8755480225988697,Strong Short,Break,-1.13383,-0.3039,0.4425,2018-01-22,Swansea,Liverpool,away,1,0,H,7,12.0,5.75,1.3,1.5,1.95,1.92,1.66,2.21,0.0265,0.0337,12.0,True,2.21,True,1.95,1.0,11.0,1.21,0.95
Liverpool,2018-04-28 11:30:00,2017,1.6195575141242935,Strong Long,Normal,0.4127542,-0.3039,0.4425,2018-05-06,Chelsea,Liverpool,away,1,0,H,7,2.25,3.6,3.29,-0.25,1.93,1.93,1.71,2.13,0.0262,0.0363,3.29,False,1.71,False,1.93,-1.0,-1.0,-1.0,-1.0
Liverpool,2018-05-06 16:30:00,2017,1.9389392090395483,Strong Long,Normal,0.5540806,-0.3039,0.4425,2018-05-13,Liverpool,Brighton,home,4,0,H,6,1.19,8.0,15.0,-2.0,1.88,1.97,1.41,2.86,0.032,0.0395,1.19,True,1.41,True,1.88,1.0,0.18999999999999995,0.4099999999999999,0.8799999999999999
Liverpool,2018-08-12 15:30:00,2018,1.5032457454050374,Strong Long,Normal,0.4073804,-0.2551,0.4407,2018-08-20,Crystal Palace,Liverpool,away,0,2,A,7,7.0,5.0,1.44,1.25,1.93,1.94,1.55,2.43,0.0373,0.0336,1.44,True,1.55,False,1.94,1.0,0.43999999999999995,-1.0,0.94
Liverpool,2018-08-20 22:00:00,2018,2.039905604719764,Strong Long,Normal,0.6438864,-0.2551,0.4407,2018-08-25,Liverpool,Brighton,home,1,0,H,4,1.16,8.5,19.0,-2.25,1.96,1.91,1.41,2.85,0.0323,0.0338,1.16,True,1.41,False,1.96,-1.0,0.15999999999999992,-1.0,-1.0
Liverpool,2018-09-15 11:30:00,2018,1.58521896982074,Strong Long,Normal,0.443506,-0.2551,0.4407,2018-09-22,Liverpool,Southampton,home,3,0,H,6,1.2,7.5,17.0,-2.0,1.96,1.9,1.49,2.59,0.0255,0.0365,1.2,True,1.49,True,1.96,1.0,0.19999999999999996,0.49,0.96
Liverpool,2019-08-09 20:00:00,2019,-1.584429983128465,Strong Short,Break,-0.91388,-0.2565,0.4149,2019-08-17,Southampton,Liverpool,away,1,2,A,7,6.5,4.75,1.44,1.25,1.84,2.04,1.64,2.28,0.0588,0.0337,6.5,False,2.28,False,1.84,1.0,-1.0,-1.0,0.8400000000000001
Liverpool,2019-08-17 15:00:00,2019,-2.0201108700891783,Strong Short,Break,-1.094644,-0.2565,0.4149,2019-08-24,Liverpool,Arsenal,home,3,1,H,6,1.5,4.6,6.0,-1.25,2.03,1.86,1.44,2.79,0.0507,0.0302,6.0,False,2.79,False,1.86,-1.0,-1.0,-1.0,-1.0
Liverpool,2019-08-31 17:30:00,2019,-1.5772330682092068,Strong Short,Break,-0.910894,-0.2565,0.4149,2019-09-14,Liverpool,Newcastle United,home,3,1,H,13,1.14,8.5,17.0,-2.25,2.01,1.87,1.42,2.89,0.0537,0.0323,17.0,False,2.89,False,1.87,1.0,-1.0,-1.0,0.8700000000000001
Liverpool,2019-10-27 16:30:00,2019,1.5679055194022655,Strong Long,Normal,0.394024,-0.2565,0.4149,2019-11-02,Aston Villa,Liverpool,away,1,2,A,5,9.0,5.0,1.33,1.5,1.89,2.0,1.47,2.71,0.063,0.0291,1.33,True,1.47,True,2.0,-0.5,0.33000000000000007,0.47,-0.5
Liverpool,2019-11-02 15:00:00,2019,2.222622318630996,Strong Long,Normal,0.665666,-0.2565,0.4149,2019-11-10,Liverpool,Manchester City,home,3,1,H,7,2.5,3.6,2.62,0.0,1.89,1.99,1.63,2.3,0.0595,0.0316,2.5,True,1.63,True,1.89,1.0,1.5,0.6299999999999999,0.8899999999999999
Liverpool,2019-12-04 20:15:00,2019,-1.721937816341287,Strong Short,Break,-0.970932,-0.2565,0.4149,2019-12-07,Bournemouth,Liverpool,away,0,3,A,2,7.0,5.25,1.4,1.25,1.96,1.92,1.5,2.59,0.0476,0.031,7.0,False,2.59,False,1.96,-1.0,-1.0,-1.0,-1.0
Liverpool,2019-12-07 15:00:00,2019,-1.8876548565919504,Strong Short,Break,-1.0396880000000002,-0.2565,0.4149,2019-12-14,Liverpool,Watford,home,2,0,H,6,1.16,7.5,17.0,-2.0,1.84,2.03,1.39,3.01,0.0542,0.0361,17.0,False,3.01,True,2.03,0.0,-1.0,2.01,0.0
Liverpool,2020-01-19 16:30:00,2019,1.611067727163172,Strong Long,Normal,0.411932,-0.2565,0.4149,2020-01-23,Wolverhampton Wanderers,Liverpool,away,1,2,A,3,5.75,3.8,1.61,0.75,2.07,1.81,1.8,2.02,0.0582,0.0356,1.61,True,1.8,True,1.81,1.0,0.6100000000000001,0.8,0.81
Liverpool,2020-01-23 20:00:00,2019,1.5245456736563026,Strong Long,Normal,0.376034,-0.2565,0.4149,2020-01-29,West Ham,Liverpool,away,0,2,A,5,8.5,5.5,1.33,1.5,1.9,1.96,1.56,2.44,0.0513,0.0365,1.33,True,1.56,False,1.96,0.5,0.33000000000000007,-1.0,0.48
Liverpool,2020-01-29 19:45:00,2019,1.5766160520607375,Strong Long,Normal,0.397638,-0.2565,0.4149,2020-02-01,Liverpool,Southampton,home,4,0,H,2,1.25,6.0,12.0,-1.5,1.84,2.02,1.53,2.49,0.05,0.0385,1.25,True,1.53,True,1.84,1.0,0.25,0.53,0.8400000000000001
Liverpool,2020-07-15 19:15:00,2019,1.5434254037117376,Strong Long,Break,0.3838671999999999,-0.2565,0.4149,2020-07-22,Liverpool,Chelsea,home,5,3,H,6,2.0,3.75,3.5,-0.5,2.05,1.82,1.6,2.34,0.0524,0.0373,2.0,True,1.6,True,2.05,1.0,1.0,0.6000000000000001,1.0499999999999998
Liverpool,2020-09-20 15:30:00,2020,-1.904208323645664,Strong Short,Break,-1.0701,-0.2511,0.4301,2020-09-28,Liverpool,Arsenal,home,3,1,H,7,1.45,4.75,6.5,-1.0,1.78,2.1,1.54,2.48,0.054,0.038,6.5,False,2.48,False,2.1,-1.0,-1.0,-1.0,-1.0
Liverpool,2020-09-28 19:15:00,2020,-2.5947268077191348,Strong Short,Break,-1.367092,-0.2511,0.4301,2020-10-04,Aston Villa,Liverpool,away,7,2,H,5,10.0,5.5,1.3,1.5,1.93,1.95,1.53,2.5,0.051,0.031,10.0,True,2.5,False,1.93,1.0,9.0,-1.0,0.9299999999999999
Liverpool,2020-12-19 12:30:00,2020,-2.770318530574285,Strong Short,Break,-1.442614,-0.2511,0.4301,2020-12-27,Liverpool,West Bromwich Albion,home,1,1,D,7,1.11,10.0,19.0,-2.5,2.02,1.84,1.36,3.13,0.0535,0.0385,19.0,False,3.13,True,1.84,1.0,-1.0,2.13,0.8400000000000001
